name,type,customers,customers__002,customers__003,nationality,mass,manufacturer,reused,dragon__capsule,dragon__mass_returned_kg,dragon__mass_returned_lbs,dragon__flight_time_sec,dragon__manifest,dragon__water_landing,dragon__land_landing,launch,mass_kg,orbit,reference_system,regime,longitude,semi_major_axis_km,eccentricity,periapsis_km,apoapsis_km,inclination_deg,period_min,lifespan_years,epoch,mean_motion,raan,arg_of_pericenter,mean_anomaly,id,norad_ids__-,norad_ids
FalconSAT-2,Satellite,DARPA,,,United States,43,SSTL,FALSE,null,null,null,null,null,null,null,5eb87cd9ffd86e000604b32a,20,LEO,geocentric,low-earth,null,null,null,400,500,39,null,null,null,null,null,null,null,5eb0e4b5b6c3bb0006eeb1e1,,
RatSat,Satellite,SpaceX,,,United States,363,SpaceX,FALSE,null,null,null,null,null,null,null,5eb87cdbffd86e000604b32d,165,LEO,geocentric,low-earth,null,6991.99,0.0012669,604.997,622.713,9.347,96.975,null,2021-01-12T17:56:17.000Z,14.84914709,74.7621,41.2544,318.8611,5eb0e4b7b6c3bb0006eeb1e5,33393,
RazakSAT,Satellite,ATSB,,,Malaysia,440,Satrec,FALSE,null,null,null,null,null,null,null,5eb87cdcffd86e000604b32e,200,LEO,geocentric,low-earth,null,7048.889,0.0017109,658.694,682.813,8.9885,98.161,null,2021-01-13T05:06:56.000Z,14.66971755,335.0541,263.5578,96.2664,5eb0e4b7b6c3bb0006eeb1e6,35578,
CASSIOPE,Satellite,MDA,,,Canada,1100,MDA,FALSE,null,null,null,null,null,null,null,5eb87ce1ffd86e000604b334,500,PO,geocentric,low-earth,null,7166.389,0.0654739,319.042,1257.465,80.9678,100.626,2,2021-01-13T05:10:19.000Z,14.31041308,94.936,49.187,316.4226,5eb0e4bbb6c3bb0006eeb1ee,39265,
SES-8,Satellite,SES,,,Luxembourg,6990,Orbital ATK,FALSE,null,null,null,null,null,null,null,5eb87ce2ffd86e000604b335,3170,GTO,geocentric,geostationary,95,42165.135,0.0001035,35782.636,35791.365,0.0576,1436.117,15,2021-01-12T22:56:18.000Z,1.00270344,247.9763,104.7527,198.9926,5eb0e4bbb6c3bb0006eeb1ef,39460,
Thaicom 6,Satellite,Thaicom,,,Thailand,7330,Orbital ATK,FALSE,null,null,null,null,null,null,null,5eb87ce3ffd86e000604b336,3325,GTO,geocentric,geostationary,78.5,42165.075,0.000078,35783.652,35790.229,0.0676,1436.114,15,2021-01-12T21:17:28.000Z,1.00270558,119.9493,131.1037,259.3984,5eb0e4bbb6c3bb0006eeb1f0,39500,
Orbcomm-OG2-M1,Satellite,Orbcomm,,,United States,2901,Boeing,FALSE,null,null,null,null,null,null,null,5eb87ce4ffd86e000604b338,1316,LEO,geocentric,low-earth,null,6641.01,0.0090712,202.633,323.117,51.6528,89.765,5,2012-10-08T03:42:59.000Z,16.04175555,280.7278,54.0639,355.0595,5eb0e4bcb6c3bb0006eeb1f2,38847,
AsiaSat 8,Satellite,AsiaSat,,,Hong Kong,9998,SSL,FALSE,null,null,null,null,null,null,null,5eb87ce5ffd86e000604b339,4535,GTO,geocentric,geostationary,105.5,42165.096,0.0001198,35781.909,35792.012,0.0124,1436.115,15,2021-01-13T06:40:42.000Z,1.00270486,42.0686,263.3838,263.81,5eb0e4bcb6c3bb0006eeb1f3,40107,
AsiaSat 6,Satellite,AsiaSat,,,Hong Kong,9762,SSL,FALSE,null,null,null,null,null,null,null,5eb87ce6ffd86e000604b33a,4428,GTO,geocentric,geostationary,120,42164.673,0.0000148,35785.914,35787.162,0.0621,1436.093,15,2021-01-12T21:29:24.000Z,1.00271992,275.1982,14.8973,264.742,5eb0e4bcb6c3bb0006eeb1f4,40141,
DSCOVR,Satellite,NASA,NOAA,USAF,United States,1260,Sierra Nevada,FALSE,null,null,null,null,null,null,null,5eb87ceaffd86e000604b33d,570,ES-L1,heliocentric,L1-point,null,null,null,null,null,null,null,5,null,null,null,null,null,5eb0e4bdb6c3bb0006eeb1f7,40390,
ABS-3A,Satellite,ABS,,,Hong Kong,4307,Boeing,FALSE,null,null,null,null,null,null,null,5eb87ceaffd86e000604b33e,1954,GTO,geocentric,geostationary,-3,42164.806,0.0001179,35781.7,35791.643,0.0079,1436.1,15,2021-01-12T17:27:27.000Z,1.00271518,24.4256,243.9083,103.0036,5eb0e4bdb6c3bb0006eeb1f8,40424,
Eutelsat 115 West B,Satellite,Eutelsat,,,France,4861,Boeing,FALSE,null,null,null,null,null,null,null,5eb87ceaffd86e000604b33e,2205,GTO,geocentric,geostationary,-114.9,42165.236,0.0000391,35785.452,35788.749,0.0098,1436.122,15,2021-01-13T04:20:43.000Z,1.00269987,223.4893,25.9447,173.7072,5eb0e4bdb6c3bb0006eeb1f9,40425,
TürkmenÄlem 52°E / MonacoSAT,Satellite,Turkmenistan National Space Agency,,,Turkmenistan,10377,Thales Alenia Space,FALSE,null,null,null,null,null,null,null,5eb87cedffd86e000604b340,4707,GTO,geocentric,geostationary,52,42164.216,0.0002376,35776.062,35796.099,0.0235,1436.07,15,2021-01-12T21:30:57.000Z,1.00273625,58.8972,234.4026,194.069,5eb0e4beb6c3bb0006eeb1fb,40617,
Orbcomm-OG2-M2,Satellite,Orbcomm,,,United States,4484,Boeing,FALSE,null,null,null,null,null,null,null,5eb87cefffd86e000604b342,2034,LEO,geocentric,low-earth,null,7088.014,0.0001941,708.503,711.255,47.0064,98.979,5,2021-01-13T01:39:35.000Z,14.54842106,151.4265,131.0592,229.046,5eb0e4beb6c3bb0006eeb1fd,41187,
Jason-3,Satellite,NASA,NOAA,,United States,1219,Thales Alenia Space,FALSE,null,null,null,null,null,null,null,5eb87cf0ffd86e000604b343,553,PO,geocentric,low-earth,null,7715.867,0.0007448,1331.985,1343.479,66.0416,112.418,5,2021-01-12T21:48:03.000Z,12.80930678,290.0949,271.7233,88.2929,5eb0e4beb6c3bb0006eeb1fe,41240,
SES-9,Satellite,SES,,,Luxembourg,11621,Boeing,FALSE,null,null,null,null,null,null,null,5eb87cf2ffd86e000604b344,5271,GTO,geocentric,geostationary,108.2,42165.399,0.0000665,35784.46,35790.068,0.0508,1436.131,15,2021-01-12T21:26:08.000Z,1.00269403,269.0515,157.1831,116.1659,5eb0e4beb6c3bb0006eeb1ff,41380,
JCSAT-2B,Satellite,SKY Perfect JSAT Group,,,Japan,10353,SSL,FALSE,null,null,null,null,null,null,null,5eb87cf5ffd86e000604b346,4696,GTO,geocentric,geostationary,154,42165.204,0.0001691,35779.938,35794.199,0.0172,1436.121,15,2021-01-12T21:39:12.000Z,1.00270101,39.4095,251.8195,300.1376,5eb0e4bfb6c3bb0006eeb201,41471,
Thaicom 8,Satellite,Thaicom,,,Thailand,6800,Orbital ATK,FALSE,null,null,null,null,null,null,null,5eb87cf6ffd86e000604b347,3100,GTO,geocentric,geostationary,78.5,42164.973,0.0002862,35774.77,35798.905,0.1041,1436.109,15,2021-01-12T21:17:36.000Z,1.00270924,76.1976,277.4974,156.7967,5eb0e4bfb6c3bb0006eeb202,41552,
ABS-2A,Satellite,ABS,,,Hong Kong,3950,Boeing,FALSE,null,null,null,null,null,null,null,5eb87cf8ffd86e000604b348,1800,GTO,geocentric,geostationary,75,42165.04,0.0000952,35782.891,35790.92,0.0207,1436.112,15,2021-01-12T22:59:51.000Z,1.00270683,58.5192,187.8082,285.9979,5eb0e4bfb6c3bb0006eeb203,41588,
Eutelsat 117 West B,Satellite,Eutelsat,,,France,3950,Boeing,FALSE,null,null,null,null,null,null,null,5eb87cf8ffd86e000604b348,1800,GTO,geocentric,geostationary,-116.8,42165.236,0.0000391,35785.452,35788.749,0.0098,1436.122,15,2021-01-13T04:20:43.000Z,1.00269987,223.4893,25.9447,173.7072,5eb0e4bfb6c3bb0006eeb204,40425,
JCSAT-16,Satellite,SKY Perfect JCSAT Group,,,Japan,10100,SSL,FALSE,null,null,null,null,null,null,null,5eb87cfaffd86e000604b34a,4600,GTO,geocentric,geostationary,162,42165.182,0.0000281,35785.862,35788.232,0.0588,1436.119,15,2021-01-12T23:15:03.000Z,1.00270178,95.0164,242.4789,251.8385,5eb0e4c1b6c3bb0006eeb206,41729,
Amos-6,Satellite,Spacecom,,,Israel,12100,Israel Aerospace Industries,FALSE,null,null,null,null,null,null,null,5eb87cfbffd86e000604b34b,5500,GTO,geocentric,geostationary,-4,null,null,35785,35800,null,null,15,null,null,null,null,null,5eb0e4c1b6c3bb0006eeb207,,
Iridium NEXT 1,Satellite,Iridium Communications,,,United States,21200,Thales Alenia Space,FALSE,null,null,null,null,null,null,null,5eb87cfdffd86e000604b34c,9600,PO,geocentric,low-earth,null,7155.803,0.000157,776.544,778.791,86.3992,100.403,15,2021-01-13T10:29:17.000Z,14.34218063,196.2242,84.3195,275.818,5eb0e4c2b6c3bb0006eeb208,,41917
EchoStar 23,Satellite,EchoStar,,,United States,12399,Airbus Defence and Space,FALSE,null,null,null,null,null,null,null,5eb87cfeffd86e000604b34e,5600,GTO,geocentric,geostationary,-44.9,42164.958,0.0002037,35778.234,35795.412,0.0036,1436.108,15,2021-01-12T18:52:08.000Z,1.00270976,111.4258,177.3758,38.796,5eb0e4c3b6c3bb0006eeb20a,42070,
SES-10,Satellite,SES,,,Luxembourg,11700,Airbus Defence and Space,FALSE,null,null,null,null,null,null,null,5eb87d00ffd86e000604b34f,5300,GTO,geocentric,geostationary,-67,42165.423,0.000239,35777.211,35797.366,0.0094,1436.132,15,2021-01-12T18:52:15.000Z,1.00269317,55.8933,239.302,33.4384,5eb0e4c3b6c3bb0006eeb20b,42432,
Inmarsat-5 F4,Satellite,Inmarsat,,,United Kingdom,13380,Boeing,FALSE,null,null,null,null,null,null,null,5eb87d01ffd86e000604b351,6070,GTO,geocentric,geostationary,117,42165.623,0.0000395,35785.822,35789.153,0.0031,1436.142,15,2021-01-13T02:21:18.000Z,1.00268605,121.9355,22.3603,60.287,5eb0e4c3b6c3bb0006eeb20d,42698,
