name,type,customers,customers__002,customers__003,nationality,mass,manufacturer,reused,dragon__capsule,dragon__mass_returned_kg,dragon__mass_returned_lbs,dragon__flight_time_sec,dragon__manifest,dragon__water_landing,dragon__land_landing,launch,mass_kg,orbit,reference_system,regime,longitude,semi_major_axis_km,eccentricity,periapsis_km,apoapsis_km,inclination_deg,period_min,lifespan_years,epoch,mean_motion,raan,arg_of_pericenter,mean_anomaly,id,norad_ids__-,norad_ids
Iridium NEXT 6,Satellite,Iridium Communications,,,United States,9480,Thales Alenia Space,FALSE,null,null,null,null,null,null,null,5eb87d1affd86e000604b367,4300,PO,geocentric,low-earth,null,7125.821,0.0002089,746.198,749.175,86.4514,99.772,15,2021-01-13T00:57:58.000Z,14.43279058,196.4052,80.972,279.1717,5eb0e4c7b6c3bb0006eeb224,,43478
SES-12,Satellite,SES,,,Luxembourg,11869,Airbus Defence and Space,FALSE,null,null,null,null,null,null,null,5eb87d1bffd86e000604b368,5383.85,GTO,geocentric,geostationary,95,42164.8,0.000199,35778.274,35795.056,0.0174,1436.1,15,2021-01-12T23:00:30.000Z,1.00271541,47.6644,230.3749,274.7201,5eb0e4c8b6c3bb0006eeb226,43488,
Telstar 19V,Satellite,Telesat,,,Canada,15600,SSL,FALSE,null,null,null,null,null,null,null,5eb87d1effd86e000604b36a,7076,GTO,geocentric,geostationary,-65,42164.642,0.0001433,35780.465,35792.549,0.0146,1436.092,15,2021-01-12T18:53:31.000Z,1.00272105,33.9869,152.3931,146.4644,5eb0e4c8b6c3bb0006eeb228,43562,
Iridium NEXT 7,Satellite,Iridium Communications,,,United States,21164,Thales Alenia Space,FALSE,null,null,null,null,null,null,null,5eb87d1fffd86e000604b36b,9600,PO,geocentric,low-earth,null,7155.814,0.0002233,776.081,779.277,86.3998,100.403,15,2021-01-13T02:56:49.000Z,14.34214704,164.6756,99.3684,260.7765,5eb0e4c9b6c3bb0006eeb229,,43569
Telkom-4,Satellite,Telkom,,,Indonesia,12787,SSL,FALSE,null,null,null,null,null,null,null,5eb87d20ffd86e000604b36c,5800,GTO,geocentric,geostationary,-108,42165.281,0.000115,35782.297,35791.995,0.0146,1436.125,15,2021-01-13T09:29:32.000Z,1.00269823,38.8571,300.7993,23.779,5eb0e4c9b6c3bb0006eeb22a,43587,
Telstar 18V,Satellite,Telesat,,,Canada,15565,SSL,FALSE,null,null,null,null,null,null,null,5eb87d22ffd86e000604b36d,7060,GTO,geocentric,geostationary,138,42165.273,0.0001672,35780.088,35794.188,0.0079,1436.124,15,2021-01-13T07:54:49.000Z,1.00269853,70.7816,226.4385,72.4873,5eb0e4c9b6c3bb0006eeb22b,43611,
SAOCOM 1A,Satellite,CONAE,,,Argentina,6173,INVAP,FALSE,null,null,null,null,null,null,null,5eb87d23ffd86e000604b36e,2800,SSO,geocentric,sun-synchronous,null,7000.671,0.0001441,621.528,623.545,97.8851,97.155,5,2021-01-13T10:39:16.000Z,14.82153463,202.5689,85.2737,274.8642,5eb0e4c9b6c3bb0006eeb22c,43641,
Es’hail 2,Satellite,Es’hailSat,,,Qatar,6614,Mitsubishi Electric,FALSE,null,null,null,null,null,null,null,5eb87d24ffd86e000604b36f,3000,GTO,geocentric,geostationary,25.5,42164.914,0.0001576,35780.134,35793.424,0.0217,1436.106,15,2021-01-13T02:12:30.000Z,1.00271134,44.1955,302.3394,185.1708,5eb0e4c9b6c3bb0006eeb22d,43700,
SSO-A,Satellite,"Spaceflight Industries, Inc",,,United States,8818,"Spaceflight Industries, Inc",FALSE,null,null,null,null,null,null,null,5eb87d25ffd86e000604b370,4000,SSO,geocentric,sun-synchronous,null,6959.941,0.0014164,571.948,591.664,97.6848,96.309,null,2021-01-13T03:12:37.000Z,14.95183201,86.8263,202.6584,157.4013,5eb0e4c9b6c3bb0006eeb22e,,43775
GPS III SV01,Satellite,USAF,,,United States,9700,Lockheed Martin,FALSE,null,null,null,null,null,null,null,5eb87d27ffd86e000604b372,4400,MEO,geocentric,semi-synchronous,null,26559.592,0.0010884,20152.55,20210.365,55.0222,717.946,15,2021-01-12T15:05:28.000Z,2.00572155,170.4465,196.8081,145.3788,5eb0e4cab6c3bb0006eeb230,43873,
Iridium NEXT 8,Satellite,Iridium Communications,,,United States,21164,Thales Alenia Space,FALSE,null,null,null,null,null,null,null,5eb87d28ffd86e000604b373,9600,PO,geocentric,low-earth,null,7155.807,0.0002779,775.684,779.661,86.3973,100.403,15,2021-01-13T04:45:43.000Z,14.34216695,101.4858,117.934,242.2137,5eb0e4cab6c3bb0006eeb231,,43922
Nusantara Satu (PSN-6),Satellite,Pasifik Satelit Nusantara,,,Indonesia,11023,SSL,FALSE,null,null,null,null,null,null,null,5eb87d2affd86e000604b374,5000,GTO,geocentric,geostationary,146,42165.355,0.0001749,35779.845,35794.594,0.0123,1436.128,15,2021-01-13T09:49:54.000Z,1.00269562,49.6179,246.9914,109.9557,5eb0e4cab6c3bb0006eeb232,44048,
S5,Satellite,Air Force Research Laboratory,,,United States,132,Applied Defense Systems,FALSE,null,null,null,null,null,null,null,5eb87d2affd86e000604b374,60,GTO,geocentric,geostationary,null,null,null,null,null,null,null,null,null,null,null,null,null,5eb0e4cab6c3bb0006eeb233,,
ArabSat 6A,Satellite,Arabsat,,,Saudi Arabia,13228,Lockheed Martin,FALSE,null,null,null,null,null,null,null,5eb87d2dffd86e000604b376,6000,GTO,geocentric,geostationary,30.5,42164.384,0.0005481,35763.139,35809.359,0.0299,1436.079,15,2021-01-12T21:23:42.000Z,1.00273024,7.6949,285.1036,171.2258,5eb0e4cbb6c3bb0006eeb236,44186,
Starlink v0.9,Satellite,SpaceX,,,United States,30027,SpaceX,FALSE,null,null,null,null,null,null,null,5eb87d30ffd86e000604b378,13620,VLEO,geocentric,very-low-earth,null,6525.788,0.0009041,141.753,153.553,52.9736,87.439,null,2020-10-01T07:31:19.000Z,16.46847225,36.3928,295.9879,160.3065,5eb0e4cbb6c3bb0006eeb238,,44235
RADARSAT Constellation,Satellite,CSA,,,Canada,3142,Maxar Technologies,FALSE,null,null,null,null,null,null,null,5eb87d31ffd86e000604b379,1425,SSO,geocentric,sun-synchronous,null,6967.983,0.0001623,588.717,590.979,97.7595,96.476,null,2021-01-13T09:31:23.000Z,14.9259542,23.1419,81.8051,278.3354,5eb0e4ccb6c3bb0006eeb239,,44322
